,,Date,yes_d,yes_r,no_d,no_r,polarity
113,309,2013-07-09,114,148,70,68,-0.09
113,310,2013-07-09,176,1,12,224,0.937046004842615
113,311,2013-07-09,181,7,10,216,0.9178743961352657
113,312,2013-07-09,150,2,41,223,0.7932692307692307
113,313,2013-07-09,84,56,106,169,0.21927710843373494
113,314,2013-07-09,0,153,187,70,-0.6585365853658537
113,315,2013-07-09,166,2,24,217,0.8728606356968215
113,316,2013-07-09,0,158,190,66,-0.6811594202898551
113,317,2013-07-09,188,13,3,210,0.9227053140096618
113,318,2013-07-09,0,115,191,109,-0.4746987951807229
113,319,2013-07-09,183,8,7,216,0.927536231884058
113,320,2013-07-09,173,4,18,220,0.8939759036144578
113,321,2013-07-09,172,2,20,222,0.8942307692307693
113,322,2013-07-09,162,2,30,222,0.8461538461538461
113,323,2013-07-09,163,3,29,221,0.8461538461538461
113,324,2013-07-09,75,7,118,217,0.40047961630695444
113,325,2013-07-09,148,2,44,222,0.7788461538461539
113,326,2013-07-09,140,3,52,221,0.7355769230769231
113,327,2013-07-10,154,2,42,224,0.7914691943127962
113,328,2013-07-10,156,0,42,224,0.8009478672985783
113,329,2013-07-10,3,162,192,60,-0.697841726618705
113,330,2013-07-10,184,0,13,225,0.9383886255924171
113,331,2013-07-10,166,30,31,196,0.7115839243498818
113,332,2013-07-10,4,82,193,145,-0.2971698113207547
113,333,2013-07-10,164,18,32,211,0.7647058823529411
113,334,2013-07-10,72,42,124,184,0.2132701421800948
113,335,2013-07-10,83,48,112,179,0.24170616113744076
113,336,2013-07-10,82,5,114,223,0.4386792452830189
113,337,2013-07-10,185,32,11,195,0.7966903073286052
113,338,2013-07-10,1,93,196,133,-0.3664302600472813
113,339,2013-07-10,7,223,190,4,-0.9481132075471698
113,340,2013-07-10,165,5,31,222,0.8297872340425532
113,341,2013-07-10,136,38,61,189,0.5330188679245284
113,342,2013-07-10,3,144,192,81,-0.6
113,343,2013-07-10,195,0,2,228,0.9905882352941177
113,344,2013-07-10,8,219,190,9,-0.92018779342723
113,345,2013-07-11,125,0,50,210,0.7402597402597403
113,346,2013-07-11,0,226,195,1,-0.995260663507109
113,347,2013-07-11,138,0,47,218,0.7667493796526055
113,348,2013-07-11,0,223,194,1,-0.9952153110047847
113,349,2013-07-11,2,224,188,1,-0.9855421686746988
113,350,2013-07-11,2,219,181,0,-0.9900497512437811
113,351,2013-07-11,197,1,0,226,0.9952830188679245
113,352,2013-07-11,0,216,197,12,-0.9435294117647058
113,353,2013-07-16,183,222,2,0,-0.10073710073710074
113,354,2013-07-16,188,223,0,0,-0.0851581508515815
113,355,2013-07-16,188,223,0,0,-0.0851581508515815
113,356,2013-07-17,1,229,192,0,-0.995260663507109
113,357,2013-07-17,4,228,183,0,-0.980722891566265
113,358,2013-07-17,9,1,182,227,0.12649164677804295
113,359,2013-07-17,188,0,3,227,0.9856459330143541
113,360,2013-07-17,35,229,161,1,-0.8309859154929577
113,361,2013-07-17,193,0,1,229,0.9952718676122931
113,362,2013-07-17,22,229,174,1,-0.892018779342723
113,363,2013-07-18,3,229,191,1,-0.9811320754716981
113,364,2013-07-18,3,227,189,1,-0.9809523809523809
113,365,2013-07-18,119,159,73,70,-0.1021377672209026
113,366,2013-07-18,193,70,1,160,0.6650943396226415
113,367,2013-07-18,11,230,181,1,-0.9432624113475178
113,368,2013-07-18,9,230,185,2,-0.9483568075117371
113,369,2013-07-19,0,227,192,4,-0.9810874704491725
113,370,2013-07-19,184,2,8,229,0.9527186761229315
113,371,2013-07-19,192,1,2,231,0.9859154929577465
113,372,2013-07-19,195,1,0,231,0.9953161592505855
113,373,2013-07-19,0,221,196,12,-0.9440559440559441
113,374,2013-07-22,173,215,1,2,-0.10485933503836317
113,375,2013-07-22,175,213,0,0,-0.0979381443298969
113,376,2013-07-23,2,227,190,0,-0.9904534606205251
113,377,2013-07-23,2,224,192,2,-0.9809523809523809
113,378,2013-07-23,46,4,148,224,0.2796208530805687
113,379,2013-07-23,172,4,23,219,0.8708133971291866
113,380,2013-07-23,136,5,54,218,0.7142857142857143
113,381,2013-07-23,46,3,148,224,0.2826603325415677
113,382,2013-07-23,4,89,190,137,-0.32857142857142857
113,383,2013-07-23,166,7,30,219,0.8246445497630331
113,384,2013-07-23,172,4,25,222,0.8628841607565012
113,385,2013-07-23,50,136,146,91,-0.3333333333333333
113,386,2013-07-23,141,142,55,84,0.06635071090047394
113,387,2013-07-23,128,56,69,168,0.40617577197149646
113,388,2013-07-23,145,104,51,122,0.26540284360189575
113,389,2013-07-23,185,161,12,67,0.18588235294117647
113,390,2013-07-23,106,44,91,185,0.36619718309859156
113,391,2013-07-23,26,227,171,2,-0.8685446009389671
113,392,2013-07-23,135,197,62,32,-0.215962441314554
113,393,2013-07-23,10,227,187,2,-0.9436619718309859
113,394,2013-07-23,191,142,6,87,0.3051643192488263
113,395,2013-07-23,106,3,91,226,0.5586854460093896
113,396,2013-07-23,141,1,55,228,0.7364705882352941
113,397,2013-07-23,47,138,148,90,-0.35224586288416077
113,398,2013-07-24,0,224,191,0,-1.0
113,399,2013-07-24,7,225,188,0,-0.9666666666666667
113,400,2013-07-24,100,77,96,150,0.18203309692671396
113,401,2013-07-24,12,223,184,4,-0.9243498817966903
113,402,2013-07-24,177,38,18,188,0.7339667458432304
113,403,2013-07-24,12,125,184,102,-0.46099290780141844
113,404,2013-07-24,14,224,183,3,-0.9198113207547169
113,405,2013-07-24,147,117,44,110,0.22966507177033493
113,406,2013-07-24,195,82,0,142,0.6085918854415274
113,407,2013-07-24,170,6,22,220,0.8660287081339713
113,408,2013-07-24,178,9,18,219,0.8726415094339622
113,409,2013-07-24,155,30,39,197,0.672209026128266
113,410,2013-07-24,182,227,12,0,-0.13539192399049882
113,411,2013-07-24,111,94,84,134,0.15839243498817968
113,412,2013-07-24,191,1,5,227,0.9716981132075472
113,413,2013-07-24,95,220,102,8,-0.5152941176470588
113,414,2013-07-25,183,2,8,223,0.9519230769230769
113,415,2013-07-25,175,1,16,223,0.9180722891566265
113,416,2013-07-25,192,0,0,225,1.0
113,417,2013-07-25,39,226,153,2,-0.8047619047619048
113,418,2013-07-30,185,132,0,92,0.3545232273838631
113,419,2013-07-30,158,81,32,143,0.45410628019323673
113,420,2013-07-30,54,137,136,88,-0.3156626506024096
113,421,2013-07-30,15,151,175,73,-0.5748792270531401
113,422,2013-07-30,145,9,45,213,0.7378640776699029
113,423,2013-07-30,101,8,87,213,0.5354523227383863
113,424,2013-07-30,107,9,80,215,0.5669099756690997
113,425,2013-07-31,172,221,25,6,-0.16037735849056603
